product_title,ordered_item_quantity,returned_item_quantity_abs,returned_item_rate
Smoked Salmon and Cream Cheese *Gluten Free* Bagel,0,0,0
"8"" carrot cake no raisins",0,0,0
Delivery etra,0,1,0
1 Baguette,0,0,0
"24 Piece Square Tray (cut each square in 3 equals parts, so there are 36 pieces in total in the platter)",0,0,0
white choc plaque,0,0,0
"6"" vaniila with vanilla",0,0,0
Gluten Free Muffins (put in a box with 2 vegan cookies),0,0,0
valentines day assorted treat box,0,0,0
Cupcake,0,0,0
potato salad,0,0,0
Gluten Free Muffin,0,0,0
"8"" Vanilla Buttercake with Raspberry Buttercream ***PEANUT ALLERGY***",0,0,0
Bussiness cards (B&B),0,0,0
12 Specialty Halloween Cupcakes,0,0,0
Baked Goods Gift Box - Lots of customizations! Check notes.,0,0,0
"Plates, napkins and utensils.",0,0,0
Garden salad,0,0,0
Blueberry lemon loaf,0,0,0
8 Shortbread Cookies (Angel shape),0,1,0
"5"" quiche broccoli cheddar",0,0,0
Rye Sourdough (sliced regular),0,0,0
Rye Sourdough bread (regular slices),0,0,0
creamy carrot orange soup 1L,0,0,0
"9"" Quiche Lorraine- No Onions",0,0,0
"6"" Vanilla Cake with Van BC on outside (no rosettes), Rasp BC on inside",0,1,0
"8"" Plain Cheesecake with no topping (graham base)",0,0,0
"9""Banana Cream pie",0,0,0
W.C. Rasp Cheesecake,0,0,0
Large - Local Cured Meats Platter,0,0,0
"6"" Chocolate buttercake with Raspberry Buttercream",0,0,0
apple caramel pecan large baked tart,0,0,0
"8""Chocolate buttercake with raspberry buttercream",0,0,0
Lighthouse Lemonade (750 ml),0,0,0
Plain Croissant 1 individual,0,0,0
Mediterranean Salad,0,0,0
"8"" chocolate cake with vanilla icing rosette design",0,0,0
"5"" quiche lorraine",0,0,0
150 Assorted Muffins-No Nuts,0,0,0
Raspberry Medium Baked Fruit Tart,0,0,0
